identifier,major_group,group,sub_group,membran_prediction,seq_start,number_cysteines,data_source,species
Xetr_1,Ly-6,frog Ly6,frog Ly6,Membrane,MAA,10,None,Xenopus_tropicalis
Xetr_2,Ly-6,frog Ly6,frog Ly6,Secreted,MQC,11,None,Xenopus_tropicalis
Xetr_3,Ly-6,frog Ly6,frog Ly6,Membrane,,8,None,Xenopus_tropicalis
Xetr_5,Ly-6,frog Ly6,frog Ly6,Membrane,MAD,10,None,Xenopus_tropicalis
Xetr_6,Ly-6,frog Ly6,frog Ly6,Membrane,MSP,10,None,Xenopus_tropicalis
Xetr_7,Ly-6,frog Ly6,frog Ly6,Membrane,MAT,10,None,Xenopus_tropicalis
Xetr_8,Ly-6,frog Ly6,frog Ly6,Membrane,,10,None,Xenopus_tropicalis
Xetr_9,Ly-6,GPIHBP1,GPIHBP1,Membrane,,10,None,Xenopus_tropicalis
Xetr4,Ly-6,frog Ly6,frog Ly6,Secreted,MQC,12,None,Xenopus_tropicalis
Hosa_13,Ly-6,Ly6L,Ly6L,Membrane,MER,10,None,Homo_sapiens
O43653,Ly-6,PSCA,PSCA,Membrane,MAG,10,SP,Homo_sapiens
O94772,Ly-6,Ly6H,Ly6H,Membrane,MLP,10,SP,Homo_sapiens
P0DP57,Ly-6,SLURP2,SLURP2,Secreted,MQL,10,SP,Homo_sapiens
P0DP58,Ly-6,LYNX1,LYNX1,Membrane,MTP,10,SP,Homo_sapiens
P55000,Ly-6,SLURP1,SLURP1,Secreted,MAS,10,SP,Homo_sapiens
Q14210,Ly-6,Ly6D,Ly6D,Membrane,MRT,10,SP,Homo_sapiens
Q16553,Ly-6,Ly6E,Ly6E,Membrane,MKI,10,SP,Homo_sapiens
Q17RY6-2,Ly-6,Ly6K,Ly6K,Secreted,,6,SP,Homo_sapiens
Q6UXB3,Ly-6,LYPD2,LYPD2,Membrane,MRG,11,SP,Homo_sapiens
Q8IV16,Ly-6,GPIHBP1,GPIHBP1,Membrane,MKA,10,SP,Homo_sapiens
Phci_11,Ly-6,Ly6K,Ly6K,Membrane,,11,None,Phascolarctos_cinereus
Phci_13,Ly-6,Ly6K,Ly6K,Membrane,MKV,11,None,Phascolarctos_cinereus
Phci_14,Ly-6,Ly6E,Ly6E,Membrane,MKV,10,None,Phascolarctos_cinereus
Phci_15,Ly-6,Ly6H,Ly6H,Membrane,MPR,10,None,Phascolarctos_cinereus
Phci_16,Ly-6,Ly6H,Ly6H,Membrane,MKI,10,None,Phascolarctos_cinereus
Phci_17,Ly-6,GPIHBP1,GPIHBP1,Membrane,,12,None,Phascolarctos_cinereus
Phci_2,Ly-6,SLURP1,SLURP1,Membrane,MGT,10,None,Phascolarctos_cinereus
Phci_3,Ly-6,LYPD2,LYPD2,Membrane,MLG,10,None,Phascolarctos_cinereus
Phci_4,Ly-6,LYNX1,LYNX1,Membrane,MKF,10,None,Phascolarctos_cinereus
Phci_5,Ly-6,Non-human mammalian Ly6,Non-human mammalian Ly6,Membrane,MKL,11,None,Phascolarctos_cinereus
Phci_6,Ly-6,LYNX1,LYNX1,Membrane,MKS,10,None,Phascolarctos_cinereus
Phci_7,Ly-6,Ly6D,Ly6D,Membrane,MKS,10,None,Phascolarctos_cinereus
Phci_8,Ly-6,Ly6 unique,Ly6 unique,Membrane,MAS,11,None,Phascolarctos_cinereus
Oran_1,Ly-6,Ly6K,Ly6K,Membrane,MCH,10,None,Ornithorhynchus_anatinus
Oran_2,Ly-6,Non-human mammalian Ly6,Non-human mammalian Ly6,Membrane,,11,None,Ornithorhynchus_anatinus
Oran_dn_10,Ly-6,GPIHBP1,GPIHBP1,Membrane,MKA,10,None,Ornithorhynchus_anatinus
Oran_dn4,Ly-6,SLURP2,SLURP2,Membrane,MKL,11,None,Ornithorhynchus_anatinus
Oran_dn5,Ly-6,LYNX1,LYNX1,Membrane,MMR,11,None,Ornithorhynchus_anatinus
Oran1,Ly-6,LYPD2,LYPD2,Membrane,MRP,11,None,Ornithorhynchus_anatinus
Oran2,Ly-6,SLURP1,SLURP1,Membrane,MKM,10,None,Ornithorhynchus_anatinus
Oran3,Ly-6,PSCA,PSCA,Membrane,MRA,10,None,Ornithorhynchus_anatinus
Oran6,Ly-6,Ly6D,Ly6D,Membrane,MKS,11,None,Ornithorhynchus_anatinus
Oran7,Ly-6,Non-human mammalian Ly6,Non-human mammalian Ly6,Membrane,MKV,12,None,Ornithorhynchus_anatinus
Oran8,Ly-6,Ly6K,Ly6K,Membrane,MKL,10,None,Ornithorhynchus_anatinus
Oran9,Ly-6,Ly6H,Ly6H,Membrane,MGN,12,None,Ornithorhynchus_anatinus
Gaga_1,Ly-6,PSCA,PSCA,Membrane,MKV,10,None,Gallus_gallus
Gaga_2,Ly-6,SLURP1,SLURP1,Membrane,MKM,10,None,Gallus_gallus
Gaga_3,Ly-6,LYPD2,LYPD2,Membrane,MKL,11,None,Gallus_gallus
Gaga_4,Ly-6,Reptilian Ly6 group 1,Reptilian Ly6 group 1,Membrane,MKA,10,None,Gallus_gallus
Gaga_5,Ly-6,Reptilian Ly6 group 3,Reptilian Ly6 group 3,Membrane,MKT,11,None,Gallus_gallus
Gaga_6,Ly-6,Reptilian Ly6 group 2,Reptilian Ly6 group 2,Membrane,MKA,11,None,Gallus_gallus
Gaga_7,Ly-6,Reptilian Ly6 group 2,Reptilian Ly6 group 2,Membrane,MKA,11,None,Gallus_gallus
Gaga_8,Ly-6,Ly6E,Ly6E,Secreted,MKA,11,None,Gallus_gallus
Alsi_1,Ly-6,PSCA,PSCA,Membrane,MKV,11,None,Alligator_sinensis
Alsi_10,Ly-6,Reptilian Ly6 group 6,Reptilian Ly6 group 6,Membrane,MKP,10,None,Alligator_sinensis
Alsi_2,Ly-6,SLURP1,SLURP1,Membrane,MKA,11,None,Alligator_sinensis
Alsi_3,Ly-6,LYPD2,LYPD2,Membrane,MRD,11,None,Alligator_sinensis
Alsi_4,Ly-6,Ly6H,Ly6H,Membrane,MKA,12,None,Alligator_sinensis
Alsi_5,Ly-6,Reptilian Ly6 group 1,Reptilian Ly6 group 1,Membrane,MKA,10,None,Alligator_sinensis
Alsi_6,Ly-6,Reptilian Ly6 group 3,Reptilian Ly6 group 3,Membrane,MKT,10,None,Alligator_sinensis
Alsi_7,Ly-6,Reptilian Ly6 group 2,Reptilian Ly6 group 2,Membrane,MKL,10,None,Alligator_sinensis
Alsi_8,Ly-6,Reptilian Ly6 group 2,Reptilian Ly6 group 2,Membrane,MMK,11,None,Alligator_sinensis
Alsi_9,Ly-6,Ly6E,Ly6E,Secreted,MRT,10,None,Alligator_sinensis
Chmy_1,Ly-6,PSCA,PSCA,Membrane,,11,None,Chelonia_mydas
Chmy_10,Ly-6,Reptilian Ly6 group 2,Reptilian Ly6 group 2,Membrane,MKA,10,None,Chelonia_mydas
Chmy_11,Ly-6,Reptilian Ly6 group 2,Reptilian Ly6 group 2,Membrane,MKA,10,None,Chelonia_mydas
Chmy_12,Ly-6,Ly6E,Ly6E,Secreted,MKI,10,None,Chelonia_mydas
Chmy_13,Ly-6,Reptilian Ly6 group 6,Reptilian Ly6 group 6,Membrane,,11,None,Chelonia_mydas
Chmy_2,Ly-6,SLURP1,SLURP1,Membrane,MKV,10,None,Chelonia_mydas
Chmy_3,Ly-6,LYPD2,LYPD2,Membrane,MKG,11,None,Chelonia_mydas
Chmy_4,Ly-6,Reptilian Ly6 group 1,Reptilian Ly6 group 1,Membrane,,10,None,Chelonia_mydas
Chmy_5,Ly-6,Reptilian Ly6 group 1,Reptilian Ly6 group 1,Membrane,MKA,10,None,Chelonia_mydas
Chmy_6,Ly-6,Reptilian Ly6 group 1,Reptilian Ly6 group 1,Membrane,MLQ,9,None,Chelonia_mydas
Chmy_7,Ly-6,Reptilian Ly6 group 1,Reptilian Ly6 group 1,Membrane,MLS,10,None,Chelonia_mydas
Chmy_9,Ly-6,Reptilian Ly6 group 3,Reptilian Ly6 group 3,Membrane,MKA,10,None,Chelonia_mydas
Povi_1,Ly-6,PSCA,PSCA,Membrane,MTP,11,None,Pogona_vitticeps
Povi_10,Ly-6,Reptilian Ly6 group 4,Reptilian Ly6 group 4,Secreted,MKT,9,None,Pogona_vitticeps
Povi_11,Ly-6,Reptilian Ly6 group 4,Reptilian Ly6 group 4,Membrane,MKT,10,None,Pogona_vitticeps
Povi_12,Ly-6,Reptilian Ly6 group 6,Reptilian Ly6 group 6,Membrane,MKV,10,None,Pogona_vitticeps
Povi_3,Ly-6,LYPD2,LYPD2,Membrane,MVE,12,None,Pogona_vitticeps
Povi_5,Ly-6,Reptilian Ly6 group 1,Reptilian Ly6 group 1,Membrane,,10,None,Pogona_vitticeps
Povi_6,Ly-6,Reptilian Ly6 group 1-2,Reptilian Ly6 group 1-2,Membrane,MKA,10,None,Pogona_vitticeps
Povi_7,Ly-6,Ly6 unique,Ly6 unique,Membrane,MKA,10,None,Pogona_vitticeps
Povi_8,Ly-6,Reptilian Ly6 group 7,Reptilian Ly6 group 7,Membrane,,10,None,Pogona_vitticeps
Povi_9,Ly-6,Reptilian Ly6 group 3,Reptilian Ly6 group 3,Secreted,MKT,11,None,Pogona_vitticeps
Povi_4,Ly-6,Reptilian Ly6 group 5,Reptilian Ly6 group 5,Membrane,MMA,10,None,Pogona_vitticeps
Anca_1,Ly-6,PSCA,PSCA,Membrane,MKV,10,None,Anolis_carolinensis
Anca_10,Ly-6,Reptilian Ly6 group 4,Reptilian Ly6 group 4,Membrane,MKT,10,None,Anolis_carolinensis
Anca_2,Ly-6,SLURP1,SLURP1,Membrane,MNV,10,None,Anolis_carolinensis
Anca_3,Ly-6,LYPD2,LYPD2,Membrane,MEK,10,None,Anolis_carolinensis
Anca_5,Ly-6,Reptilian Ly6 group 1,Reptilian Ly6 group 1,Membrane,MKA,10,None,Anolis_carolinensis
Anca_6,Ly-6,Reptilian Ly6 group 1-2,Reptilian Ly6 group 1-2,Membrane,MKA,10,None,Anolis_carolinensis
Anca_7,Ly-6,Reptilian Ly6 group 7,Reptilian Ly6 group 7,Membrane,MKS,11,None,Anolis_carolinensis
Anca_8,Ly-6,Reptilian Ly6 group 3,Reptilian Ly6 group 3,Secreted,MKA,10,None,Anolis_carolinensis
Anca_9,Ly-6,Reptilian Ly6 group 4,Reptilian Ly6 group 4,Secreted,MMK,10,None,Anolis_carolinensis
Anca_4,Ly-6,Reptilian Ly6 group 5,Reptilian Ly6 group 5,Membrane,MAT,10,None,Anolis_carolinensis
Vako_dn2,Ly-6,SLURP1,SLURP1,Secreted,,6,None,Varanus_komodoensis
Vako_dn3,Ly-6,LYPD2,LYPD2,Membrane,,10,None,Varanus_komodoensis
Vako_dn8,Ly-6,Reptilian Ly6 group 3,Reptilian Ly6 group 3,Secreted,,10,None,Varanus_komodoensis
Vako1,Ly-6,PSCA,PSCA,Membrane,MKV,11,None,Varanus_komodoensis
Vako10,Ly-6,Ly6E,Ly6E,Secreted,MRP,10,None,Varanus_komodoensis
Vako5,Ly-6,Reptilian Ly6 group 1,Reptilian Ly6 group 1,Membrane,MKA,10,None,Varanus_komodoensis
Vako6,Ly-6,Reptilian Ly6 group 1-2,Reptilian Ly6 group 1-2,Membrane,MKS,11,None,Varanus_komodoensis
Vako7,Ly-6,Reptilian Ly6 group 7,Reptilian Ly6 group 7,Membrane,MKA,10,None,Varanus_komodoensis
Vako9,Ly-6,Reptilian Ly6 group 4,Reptilian Ly6 group 4,Membrane,MKT,10,None,Varanus_komodoensis
Vako_dn4,Ly-6,Reptilian Ly6 group 5,Reptilian Ly6 group 5,Membrane,MAA,11,None,Varanus_komodoensis
M9T1L2,Non-standard,Non-standard,,Secreted,MKA,11,TR,Aspidites_melanocephalus
M9T271,Non-standard,Non-standard,,Secreted,MKA,11,TR,Aspidites_melanocephalus
Pbiv_NW_006541926_1_gene_1_mRNA_1,Non-standard,Non-standard,,Secreted,,12,NCBI,Python_bivittatus
Pbiv_NW_006543148_1_gene_1_mRNA_1,Non-standard,Non-standard,,Secreted,,11,NCBI,Python_bivittatus
Pybi_1,Ly-6,Reptilian Ly6 group 4,Reptilian Ly6 group 4,Membrane,MGI,10,None,Python_bivittatus
Pybi_2,Ly-6,SLURP1,SLURP1,Membrane,,10,None,Python_bivittatus
Pybi_3,Ly-6,PSCA,PSCA,Membrane,MKA,12,None,Python_bivittatus
A0A098LY61,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y/L,Secreted,MKT,9,TR,Python_regius
A0A098LWQ5,Non-standard,Non-standard,,Secreted,MKA,11,TR,Python_regius
A0A098LY55,Plesiotypic,Plesiotypic,,Secreted,MKT,10,TR,Python_regius
A0A098LY67,Plesiotypic,Plesiotypic,,Secreted,MRK,10,TR,Python_regius
M9SZR1,Non-standard,Non-standard,,Secreted,MKA,11,TR,Cylindrophis_ruffus
M9T2J4,Non-standard,Non-standard,Viperid non-standard C #8 -> Y,Secreted,MKT,10,TR,Azemiops_feae
BOTJA_GEXA01000001.1_15_275,Non-standard,Non-standard,,Secreted,,10,NCBI,Bothrops_jararaca
P84716,Short-chain,Short-chain,,Secreted,,8,SP,Causus_rhombeatus
A0A1W7RBC9,Plesiotypic,Plesiotypic,,Secreted,MKT,10,TR,Crotalus_adamanteus
A0A1W7RBD9,Plesiotypic,Plesiotypic,,Secreted,MKT,10,TR,Crotalus_adamanteus
CROCE_GGMJ01000004.1_1_267,Non-standard,Non-standard,,Secreted,,10,NCBI,Crotalus_cerastes
CROCE_GGMJ01000005.1_1_252,Plesiotypic,Plesiotypic,,Secreted,,10,NCBI,Crotalus_cerastes
CROSC_GGIP01000025.1_1_252,Plesiotypic,Plesiotypic,,Secreted,MKT,10,NCBI,Crotalus_scutulatus
CROTI_XM_039332036.1_300_557,Plesiotypic,Plesiotypic,,Secreted,MKT,10,NCBI,Crotalus_tigris
CROTI_XM_039332037.1_103_360,Plesiotypic,Plesiotypic,,Secreted,MKT,10,NCBI,Crotalus_tigris
CROTI_XM_039332038.1_21_260,Plesiotypic,Plesiotypic,,Secreted,MKA,10,NCBI,Crotalus_tigris
CROTI_XR_005555302.1_67_312,Plesiotypic,Plesiotypic,,Secreted,,10,NCBI,Crotalus_tigris
CROTI_XR_005555304.1_268_468,Plesiotypic,Plesiotypic,,Secreted,,10,NCBI,Crotalus_tigris
CROTI_XR_005555300.1_149_355,Non-standard,Non-standard,Basal viper genomic 8-cysteine,Secreted,,8,NCBI,Crotalus_tigris
CROTI_XR_005557461.1_417_620,Non-standard,Non-standard,Basal viper genomic 8-cysteine,Secreted,,8,NCBI,Crotalus_tigris
CROTI_XR_005557464.1_96_332,Non-standard,Non-standard,Basal viper genomic 8-cysteine,Secreted,,8,NCBI,Crotalus_tigris
Cvir_PDHV02000066_1_88429_90401,Non-standard,Non-standard,,Secreted,MKT,11,None,Crotalus_viridis
Cvir_PDHV02000188_1_35190_37247_mka,Non-standard,Non-standard,Basal genomic 8-cysteines,Secreted,MKA,8,None,Crotalus_viridis
Dacu_scaffold1201_gene_1_mRNA_1_mka,Plesiotypic,Plesiotypic,,Secreted,MKA,10,None,Deinagkistrodon_acutus
Dacu_scaffold1201_gene_1_mRNA_2_mka,Plesiotypic,Plesiotypic,,Secreted,MKA,10,None,Deinagkistrodon_acutus
Dacu_scaffold1201_gene_1_mRNA_3_mka,Plesiotypic,Plesiotypic,,Secreted,MKA,10,None,Deinagkistrodon_acutus
Dacu_scaffold1201_gene_1_mRNA_4_mka,Plesiotypic,Plesiotypic,,Secreted,MKA,10,None,Deinagkistrodon_acutus
Dacu_scaffold1201_gene_1_mRNA_5_mka,Plesiotypic,Plesiotypic,,Secreted,MKA,10,None,Deinagkistrodon_acutus
Dacu_scaffold1201_gene_1_mRNA_6,Ly-6,Ly6H,Ly6H,Secreted,MKA,10,None,Deinagkistrodon_acutus
Dacu_scaffold2000_gene_1_mRNA_1,Plesiotypic,Plesiotypic,,Secreted,MKT,10,None,Deinagkistrodon_acutus
GLOIN_GHUB01014925.1_176_436,Non-standard,Non-standard,,Secreted,,11,NCBI,Gloydius_intermedius
GLOIN_GHUB01014927.1_176_415,Plesiotypic,Plesiotypic,,Secreted,,10,NCBI,Gloydius_intermedius
GLOIN_GHUB01072089.1_C300_49,Plesiotypic,Plesiotypic,,Secreted,,10,NCBI,Gloydius_intermedius
GLOIN_GHUB01143089.1_C464_201,Plesiotypic,Plesiotypic,,Secreted,,10,NCBI,Gloydius_intermedius
U3T794,Non-standard,Non-standard,,Secreted,MKT,10,TR,Protobothrops_flavoviridis
Prmu_3,Non-standard,Non-standard,,Secreted,,8,None,Protobothrops_mucrosquamatus
Prmu_6,Ly-6,Ly6E,Ly6E,Secreted,MKA,9,None,Protobothrops_mucrosquamatus
PROMU_XM_015823117.1_32_274,Plesiotypic,Plesiotypic,,Secreted,MKT,10,NCBI,Protobothrops_mucrosquamatus
Protobothrops_mucrosquamatus_XP_015678608,Non-standard,Non-standard,,Secreted,MKT,11,NCBI,Protobothrops_mucrosquamatus
Prmu_2,Plesiotypic,Plesiotypic,,Secreted,MKT,10,None,Protobothrops_mucrosquamatus
Prmu_4,Plesiotypic,Plesiotypic,,Secreted,MKT,10,None,Protobothrops_mucrosquamatus
Prmu_5,Ly-6,Reptilian Ly6 group 4,Reptilian Ly6 group 4,Membrane,,10,None,Protobothrops_mucrosquamatus
Prmu_7,Ly-6,SLURP1,SLURP1,Membrane,,10,None,Protobothrops_mucrosquamatus
Pseudocerastes_urarachnoides_3FTx_05,Non-standard,Non-standard,Viperid non-standard C #8 -> Y,Secreted,MKT,9,None,Pseudocerastes_urarachnoides
Pseudocerastes_urarachnoides_3FTx_06,Non-standard,Non-standard,Viperid non-standard C #8 -> Y,Secreted,,9,None,Pseudocerastes_urarachnoides
A5X2W6,Non-standard,Non-standard,,Secreted,MKT,10,TR,Sistrurus_catenatus_edwardsii
A5X2W8,Plesiotypic,Plesiotypic,,Secreted,MKT,10,SP,Sistrurus_catenatus_edwardsii
A5X2W7,Plesiotypic,Plesiotypic,,Secreted,MKT,10,TR,Sistrurus_catenatus_edwardsii
A5X2W9,Plesiotypic,Plesiotypic,,Secreted,MKT,10,TR,Sistrurus_catenatus_edwardsii
A5X2X0,Plesiotypic,Plesiotypic,,Secreted,MKT,10,TR,Sistrurus_catenatus_edwardsii
B4Y143,Plesiotypic,Plesiotypic,,Secreted,MKT,10,TR,Sistrurus_catenatus_edwardsii
VIPTR_OL439441.1_1_264,Non-standard,Non-standard,Viperid non-standard C #8 -> Y,Secreted,MKT,9,NCBI,Vipera_transcaucasiana
Vipera_transcaucasiana_3FTx_08,Non-standard,Non-standard,Viperid non-standard C #8 -> Y,Secreted,,9,None,Vipera_transcaucasiana
Vipera_transcaucasiana_3FTx_09,Non-standard,Non-standard,Viperid non-standard C #8 -> Y,Secreted,,9,None,Vipera_transcaucasiana
Vipera_transcaucasiana_3FTx_10,Non-standard,Non-standard,Viperid non-standard C #8 -> Y,Secreted,,9,None,Vipera_transcaucasiana
Atractaspis_aterrima_GAME01026808,Non-standard,Non-standard,,Secreted,,10,NCBI,Atractaspis_aterrima
ATRAT_GAME01039965.1_33_296,Non-standard,Non-standard,,Secreted,,12,NCBI,Atractaspis_aterrima
Atractaspis_aterrima_GAMF01005539,Plesiotypic,Plesiotypic,,Secreted,,10,NCBI,Atractaspis_aterrima
Atractaspis_aterrima_GAMF01040875,Plesiotypic,Plesiotypic,,Secreted,,10,NCBI,Atractaspis_aterrima
Atractaspis_aterrima_GAMF01050194,Plesiotypic,Plesiotypic,,Secreted,,10,NCBI,Atractaspis_aterrima
Atractaspis_aterrima_GAMF01055489,Plesiotypic,Plesiotypic,,Secreted,,10,NCBI,Atractaspis_aterrima
ATRAT_GAMF01005539.1_32_289,Plesiotypic,Plesiotypic,,Secreted,,10,NCBI,Atractaspis_aterrima
ATRAT_GAMF01035612.1_104_391,Plesiotypic,Plesiotypic,,Secreted,,10,NCBI,Atractaspis_aterrima
ATRAT_GAMF01040875.1_33_287,Plesiotypic,Plesiotypic,,Secreted,,10,NCBI,Atractaspis_aterrima
ATRAT_GAMF01047773.1_120_359,Plesiotypic,Plesiotypic,,Secreted,,10,NCBI,Atractaspis_aterrima
ATRAT_GAMF01050194.1_30_284,Plesiotypic,Plesiotypic,,Secreted,,10,NCBI,Atractaspis_aterrima
A7X3R6,Plesiotypic,Plesiotypic,,Secreted,MKT,10,SP,Leioheterodon_madagascariensis
MALIN_GFTV01000051.1_C343_146,Long-chain,Long-chain,,Secreted,,10,NCBI,Malpolon_insignitus
MALMO_OL366269.1_1_252,Non-standard,Non-standard,,Secreted,MKT,11,NCBI,Malpolon_monspessulanus
Malpolon_monspessulanus_unigene50403,Non-standard,Non-standard,,Secreted,,11,None,Malpolon_monspessulanus
A7X3M3,Non-standard,Non-standard,,Secreted,MKT,9,SP,Psammophis_mossambicus
PSASC_OL366271.1_1_249,Non-standard,Non-standard,,Secreted,MLL,9,NCBI,Psammophis_schokari
Psammophis_schokari_unigene276500,Non-standard,Non-standard,,Secreted,,9,None,Psammophis_schokari
PSASC_OL366270.1_1_258,Plesiotypic,Plesiotypic,,Secreted,MKT,10,NCBI,Psammophis_schokari
PSASC_OL366274.1_1_264,Plesiotypic,Plesiotypic,,Secreted,MKT,10,NCBI,Psammophis_schokari
Psammophis_schokari_unigene221596,Plesiotypic,Plesiotypic,,Secreted,,10,None,Psammophis_schokari
Psammophis_schokari_unigene36962,Plesiotypic,Plesiotypic,,Secreted,,10,None,Psammophis_schokari
Psammophis_schokari_unigene503446,Plesiotypic,Plesiotypic,,Secreted,,10,None,Psammophis_schokari
PSASU_OL439254.1_1_252,Non-standard,Non-standard,,Secreted,MKT,11,NCBI,Psammophis_subtaeniatus
Psammophis_subtaeniatus_unigene107172,Non-standard,Non-standard,,Secreted,,11,None,Psammophis_subtaeniatus
Psammophis_subtaeniatus_unigene33896,Plesiotypic,Plesiotypic,,Secreted,,10,None,Psammophis_subtaeniatus
A0A193CHL3,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y,Secreted,MKT,8,TR,Ahaetulla_prasina
A0A346CLY6,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y,Secreted,,9,TR,Ahaetulla_prasina
A0A346CLY7,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y,Secreted,,9,TR,Ahaetulla_prasina
A0A193CHL5,Plesiotypic,Plesiotypic,,Secreted,MKT,10,TR,Ahaetulla_prasina
A0A346CLY8,Non-standard,Non-standard,,Secreted,,11,TR,Ahaetulla_prasina
A0A346CLZ0,Non-standard,Non-standard,,Secreted,,11,TR,Ahaetulla_prasina
A0A346CLZ1,Plesiotypic,Plesiotypic,,Secreted,,10,TR,Ahaetulla_prasina
A0A346CM15,Non-standard,Non-standard,,Secreted,,11,TR,Ahaetulla_prasina
A0A346CM25,Non-standard,Non-standard,,Secreted,,11,TR,Ahaetulla_prasina
A0A481MQM5,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y/L,Secreted,MKT,9,TR,Boiga_cynodon
A0A193CHL1,Plesiotypic,Plesiotypic,,Secreted,MKT,10,TR,Boiga_cynodon
Boiga_dendrophila_dendrophila_GGUB01000001,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y/L,Secreted,MKT,9,NCBI,Boiga_dendrophila_dendrophila
A0A481MQP4,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y/L,Secreted,MKT,9,TR,Boiga_dendrophila
Q06ZW0,Plesiotypic,Plesiotypic,,Secreted,MKT,10,SP,Boiga_dendrophila
A0A481MQJ6,Plesiotypic,Plesiotypic,,Secreted,MKT,10,TR,Boiga_dendrophila
A0A481MQK7,Plesiotypic,Plesiotypic,,Secreted,MKT,10,TR,Boiga_dendrophila
A0A481MQL7,Plesiotypic,Plesiotypic,,Secreted,MKT,10,TR,Boiga_dendrophila
Boiga_dendrophila_dendrophila_GGUB01000002,Plesiotypic,Plesiotypic,,Secreted,MKT,10,NCBI,Boiga_dendrophila_dendrophila
Boiga_dendrophila_dendrophila_GGUB01000005,Plesiotypic,Plesiotypic,,Secreted,MKT,10,NCBI,Boiga_dendrophila_dendrophila
Boiga_dendrophila_dendrophila_GGUB01000024,Plesiotypic,Plesiotypic,,Secreted,MKT,10,NCBI,Boiga_dendrophila_dendrophila
Boiga_dendrophila_dendrophila_GGUB01000025,Plesiotypic,Plesiotypic,,Secreted,MKT,10,NCBI,Boiga_dendrophila_dendrophila
Boiga_dendrophila_dendrophila_GGUB01000027,Plesiotypic,Plesiotypic,,Secreted,MKI,10,NCBI,Boiga_dendrophila_dendrophila
1217Boiga_,Plesiotypic,Plesiotypic,,Secreted,,10,None,Boiga_dendrophila_dendrophila
1221Boiga_,Plesiotypic,Plesiotypic,,Secreted,,10,None,Boiga_dendrophila_dendrophila
